C1:1
C2:1
C3:1
C4:1
D1:1
J1:1
J2:1
Q1:1
Q10:1
Q11:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
Q8:1
Q9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
T1:1
T2:1
U1:1
U2:1
